Number,English sentence,Polish sentence,Number of words,Number of letters,Valence all,Arousal all,Dominance all,Origin all,Significance all,Source all,Valence Main Sample,Valence Main Sample,Valence Main Sample,Valence Main Sample Female,Valence Main Sample Female,Valence Main Sample Female,Valence Main Sample Male,Valence Main Sample Male,Valence Main Sample Male,Valence psych,Valence psych,Valence psych,Arousal Main Sample,Arousal Main Sample,Arousal Main Sample,Arousal Main Sample Female,Arousal Main Sample Female,Arousal Main Sample Female,Arousal Main Sample  Male,Arousal Main Sample  Male,Arousal Main Sample  Male,Arousal psych,Arousal psych,Arousal psych,Dominance Main Sample,Dominance Main Sample,Dominance Main Sample,Dominance Main Sample Female,Dominance Main Sample Female,Dominance Main Sample Female,Dominance Main Sample Male,Dominance Main Sample Male,Dominance Main Sample Male,Dominance psych,Dominance psych,Dominance psych,Origin Main Sample,Origin Main Sample,Origin Main Sample,Origin Main Sample Female,Origin Main Sample Female,Origin Main Sample Female,Origin Main Sample Male,Origin Main Sample Male,Origin Main Sample Male,Origin psych,Origin psych,Origin psych,Significance Main Sample,Significance Main Sample,Significance Main Sample,Significance Main Sample Female,Significance Main Sample Female,Significance Main Sample Female,Significance Main Sample Male,Significance Main Sample Male,Significance Main Sample Male,Significance psych,Significance psych,Significance psych,Source Main Sample,Source Main Sample,Source Main Sample,Source Main Sample Female,Source Main Sample Female,Source Main Sample Female,Source Main Sample Male,Source Main Sample Male,Source Main Sample Male,Source psych,Source psych,Source psych,,,,,,,,,,
160,Sometimes making the choice between life and death is a person’s last chance to preserve dignity.,Czasem dokonanie wyboru między życiem a śmiercią jest ostatnią szansą zachowania godności.,12,90,4.63,5.2,5.85,5.06,6.7,4.59,52,4.63,2.1,26,4.5,2.25,26,4.77,1.94,,,,51,5.2,2.51,25,5.44,2.36,26,4.96,2.66,,,,53,5.85,2.58,27,5.93,2.55,26,5.77,2.62,,,,52,5.06,2.64,26,5.15,2.82,26,4.96,2.46,,,,53,6.7,2.2,26,6.96,2.48,27,6.44,1.93,,,,51,4.59,2.86,26,4.23,2.8,25,4.96,2.91,,,,169707.9167,5645.5,8.94,0.42,0.08,0.25,0.00,0.08,0.08,0.08
161,Sometimes such a catharsis occurs at the premiere that any further shows are pointless.,"Czasem następuje na premierze takie katharsis, że dalsze przedstawienie nie ma już sensu.",13,89,4.63,4.71,4.15,4.28,4.66,4.46,51,4.63,1.37,26,4.96,1.4,25,4.28,1.34,,,,52,4.71,2.16,26,4.38,2.14,26,5.04,2.19,,,,52,4.15,2.28,26,4.04,2.5,26,4.27,2.06,,,,50,4.28,2.59,24,4.67,2.64,26,3.92,2.54,,,,53,4.66,2.11,27,4.63,2.22,26,4.69,2,,,,52,4.46,2.61,26,4.65,2.65,26,4.27,2.58,,,,567528.5385,17773,9.96,0.23,0.15,0.23,0.00,0.08,0.08,0.23
162,Sometimes you can find a kernel of honor even in a lie.,Czasem nawet w kłamstwie można znaleźć ziarno honoru.,8,53,4.65,4.19,5.08,5.33,4.92,4,52,4.65,2.19,26,4.81,2.11,26,4.5,2.27,,,,52,4.19,2.21,26,4.58,2.26,26,3.81,2.16,,,,52,5.08,1.87,26,5.23,1.95,26,4.92,1.79,,,,52,5.33,2.02,26,5.5,2.2,26,5.15,1.84,,,,52,4.92,2.13,26,4.69,1.97,26,5.15,2.28,,,,52,4,2.49,26,4,2.44,26,4,2.55,,,,249697,24831,9.54,0.43,0.00,0.14,0.00,0.00,0.14,0.29
163,What I desire is the smell of certain people: those very rare people who inspire love.,"Czego pożądam, to zapachu pewnych ludzi: tych nader rzadkich ludzi, którzy wzbudzają miłość.",13,92,5.58,5.39,5.17,2.98,5.66,4.83,52,5.58,2.72,26,5.85,2.61,26,5.31,2.82,,,,51,5.39,2.64,26,5.54,2.59,25,5.24,2.69,,,,52,5.17,2.28,26,5.62,2.11,26,4.73,2.46,,,,52,2.98,2.13,26,2.62,1.93,26,3.35,2.32,,,,50,5.66,2.64,24,6.04,2.76,26,5.31,2.52,,,,53,4.83,2.67,27,5.04,2.62,26,4.62,2.72,,,,261254.75,11312,8.45,0.42,0.33,0.17,0.00,0.00,0.00,0.08
164,Hiccups can torment a person so long that it can become a bit confusing.,"Czkawka potrafi męczyć człowieka tak długo, że może wprowadzić w zakłopotanie.",11,78,4.75,4.29,4.06,5.29,3.49,4.49,52,4.75,2,26,4.35,2.05,26,5.15,1.96,,,,52,4.29,2.56,26,4.69,2.41,26,3.88,2.71,,,,52,4.06,2.27,26,4,2.45,26,4.12,2.1,,,,52,5.29,2.44,26,5.69,2.51,26,4.88,2.36,,,,53,3.49,2.75,26,3,2.9,27,3.96,2.6,,,,51,4.49,2.52,26,4.31,2.46,25,4.68,2.58,,,,407852.2727,18849,9.93,0.18,0.00,0.36,0.09,0.09,0.09,0.18
165,"People complain so much at every twinge of pain, but are so seldom happy when they don’t feel it.","Człowiek bardzo się uskarża przy każdym bólu, a tak rzadko się cieszy, gdy go nie czuje.",16,88,4.6,4.13,4.6,4.71,5.19,3.59,52,4.6,1.81,26,4.77,1.77,26,4.42,1.84,,,,52,4.13,2.35,26,4.31,2.47,26,3.96,2.23,,,,53,4.6,2.27,26,4.42,2.17,27,4.78,2.36,,,,51,4.71,2.59,26,5,2.62,25,4.4,2.56,,,,52,5.19,2.39,26,5.38,2.59,26,5,2.18,,,,51,3.59,2.07,25,3.64,2.5,26,3.54,1.67,,,,679340.125,87242.5,11,0.13,0.07,0.20,0.13,0.13,0.07,0.27
166,Humans are humane only in humane conditions.,Człowiek jest ludzki tylko w ludzkich warunkach.,7,48,4.33,4.38,4.35,5.15,5.58,5.27,52,4.33,1.73,26,4.12,1.85,26,4.54,1.61,,,,56,4.38,2.21,26,4,2.32,30,4.7,2.11,,,,52,4.35,2.34,26,4.42,2.4,26,4.27,2.28,,,,52,5.15,2.54,26,4.77,2.53,26,5.54,2.56,,,,52,5.58,2.6,26,5.85,2.57,26,5.31,2.63,,,,52,5.27,2.04,26,6.27,2.05,26,4.27,2.02,,,,493251.1429,30735,10.45,0.29,0.29,0.14,0.00,0.00,0.14,0.14
167,Man is vile; he gets used to everything.,"Człowiek jest podły, do wszystkiego przywyka.",6,45,3.75,4.89,4.02,5.04,4.9,4.58,52,3.75,1.98,26,3.54,1.97,26,3.96,1.99,,,,56,4.89,2.36,26,4.85,2.37,30,4.93,2.35,,,,52,4.02,2.28,26,3.88,2.3,26,4.15,2.27,,,,52,5.04,2.56,26,5.42,2.65,26,4.65,2.48,,,,52,4.9,2.5,26,5.08,2.47,26,4.73,2.53,,,,52,4.58,3.06,26,4.42,3.14,26,4.73,2.98,,,,395916.6667,23878,9.5,0.33,0.17,0.33,0.00,0.00,0.17,0.00
168,"Humans are mammals because they do not lay eggs; if anything, they eat them.","Człowiek jest ssakiem, bo nie znosi jajek, a jeśli, to je zjada.",12,64,5.33,3.21,4.71,6.48,3.33,5.15,52,5.33,1.67,26,5.12,1.62,26,5.54,1.72,,,,52,3.21,2.1,26,3.31,1.98,26,3.12,2.23,,,,52,4.71,2.09,26,4.69,1.95,26,4.73,2.22,,,,56,6.48,2.4,26,6.62,2.34,30,6.37,2.45,,,,51,3.33,1.94,25,3.88,2.13,26,2.81,1.76,,,,52,5.15,2.06,27,5.52,2.14,25,4.76,1.97,,,,767884.5,119842,10.58,0.36,0.00,0.27,0.00,0.27,0.00,0.09
169,"Under anesthetic, a man hovers for a split second in a vacuum, feeling nothing, thinking of nothing, understanding nothing.","Człowiek uśpiony pod narkozą zawisa na ułamek sekundy w próżni, niczego nie czuje, o niczym nie myśli, niczego nie rozumie.",20,123,4.43,3.17,3.06,4.92,4.69,3.96,51,4.43,1.89,26,4.38,1.91,25,4.48,1.86,,,,52,3.17,2.51,26,3.35,2.39,26,3,2.63,,,,51,3.06,2.47,25,2.68,2.4,26,3.42,2.54,,,,52,4.92,2.17,26,5.08,2.18,26,4.77,2.16,,,,52,4.69,2.25,26,5.73,2.26,26,3.65,2.24,,,,52,3.96,2.09,26,4.04,2.11,26,3.88,2.06,,,,790217.05,25222,9.84,0.45,0.00,0.20,0.00,0.00,0.20,0.15
170,"A free man is unpredictable, not only to others but foremost to himself. ","Człowiek wolny jest nieprzewidywalny, nie tylko dla innych, ale przede wszystkim dla siebie.",13,92,5.61,4.85,6.16,4.5,5.25,4.27,51,5.61,1.96,26,5.23,2,25,6,1.92,,,,52,4.85,2.39,26,4.62,2.59,26,5.08,2.19,,,,51,6.16,2.21,25,5.88,2.21,26,6.42,2.21,,,,52,4.5,2.68,26,4.73,2.74,26,4.27,2.62,,,,52,5.25,2.66,26,5.73,2.82,26,4.77,2.51,,,,52,4.27,2.27,26,4.04,2.08,26,4.5,2.47,,,,528493.3846,63911,11.17,0.17,0.25,0.08,0.00,0.08,0.25,0.17
171,A man who loses his job and anticipates unemployment is facing the huge challenge of figuring out how to deal with a new reality.,"Człowiek, który traci pracę i czeka go bezrobocie, stoi przed ogromnym wyzwaniem odnalezienia się w nowej rzeczywistości.",17,121,3.42,5.58,4.1,6.08,5.96,5.4,52,3.42,1.39,26,3.46,1.4,26,3.38,1.39,,,,52,5.58,2.26,26,6.31,2.16,26,4.85,2.36,,,,52,4.1,2.68,26,3.96,2.77,26,4.23,2.58,,,,53,6.08,2.14,27,5.78,2.22,26,6.38,2.05,,,,51,5.96,2.33,25,7.2,2.24,26,4.77,2.43,,,,52,5.4,2.31,26,5.38,2.31,26,5.42,2.3,,,,360050.3529,14633,9.69,0.31,0.19,0.25,0.00,0.06,0.13,0.06
172,I feel like a defective product that rolled off the assembly line completely screwed up. ,"Czuję się jak wybrakowany towar, który zjechał z linii montażowej kompletnie schrzaniony",12,88,2.77,4.29,2.48,4.08,4.94,2.76,52,2.77,1.51,26,2.73,1.82,26,2.81,1.21,,,,52,4.29,2.15,26,5.23,2.42,26,3.35,1.89,,,,52,2.48,1.75,26,2.27,1.72,26,2.69,1.78,,,,52,4.08,2.37,26,2.85,2.3,26,5.31,2.44,,,,52,4.94,2.1,26,4.46,2.27,26,5.42,1.93,,,,51,2.76,1.96,26,2.69,1.8,25,2.84,2.12,,,,378644.9167,5033.5,8.6,0.17,0.17,0.33,0.08,0.08,0.08,0.08
173,Affection is not a sublimation of sexual interest; it is a direct result of brotherly love.,"Czułość nie jest sublimacją instynktu seksualnego, jest bezpośrednim wynikiem braterskiej miłości.",11,98,6.08,4.27,5.54,3.66,5.19,3.79,51,6.08,1.63,26,6.35,1.22,25,5.8,2.04,,,,52,4.27,2.61,26,4.19,2.57,26,4.35,2.66,,,,52,5.54,2.36,26,6,2.24,26,5.08,2.48,,,,50,3.66,1.88,24,3.67,1.8,26,3.65,1.95,,,,53,5.19,2.5,27,4.85,2.51,26,5.54,2.48,,,,52,3.79,1.95,26,3.81,1.9,26,3.77,2,,,,639741,534,8.46,0.40,0.30,0.20,0.00,0.00,0.00,0.10
174,Do you have a room in which we could dance from time to time?,"Czy masz pokój, w którym moglibyśmy od czasu do czasu godzinę potańczyć?",12,72,6.25,4.63,5.9,3.83,4.32,4.44,52,6.25,2.22,26,6.42,2.34,26,6.08,2.11,,,,52,4.63,2.43,26,5,2.52,26,4.27,2.33,,,,52,5.9,1.92,26,5.77,1.93,26,6.04,1.9,,,,52,3.83,2.08,26,3.23,1.81,26,4.42,2.36,,,,56,4.32,2.5,26,3.88,2.45,30,4.7,2.54,,,,52,4.44,2.59,26,4.27,2.82,26,4.62,2.35,,,,352692.6364,64548,11.47,0.36,0.09,0.18,0.00,0.00,0.27,0.09
175,"A purebred Polish romantic, who is forever searching for something beyond reality.","Czystej krwi polski romantyk, co to wiecznie szuka czegoś poza rzeczywistością",11,78,4.43,4.02,4.9,2.62,4.42,4.75,56,4.43,2.19,26,4.65,2.03,30,4.23,2.33,,,,52,4.02,2.44,26,4.23,2.51,26,3.81,2.36,,,,52,4.9,1.85,26,5.04,1.87,26,4.77,1.83,,,,52,2.62,2.4,26,2.23,2.47,26,3,2.34,,,,52,4.42,2.21,26,5.12,2.04,26,3.73,2.39,,,,52,4.75,2.52,26,4.27,2.61,26,5.23,2.44,,,,385567.4545,6099,9.16,0.55,0.18,0.09,0.09,0.00,0.09,0.00
176,Reading books is the most fun thing that humanity ever invented.,"Czytanie książek to najpiękniejsza zabawa, jaką sobie ludzkość wymyśliła.",9,73,6.06,4.41,5.85,5.71,4.5,4.68,52,6.06,1.7,26,6.5,1.6,26,5.62,1.81,,,,51,4.41,2.58,26,5,2.6,25,3.8,2.56,,,,52,5.85,2.11,26,5.88,2.27,26,5.81,1.95,,,,52,5.71,2.08,26,5.85,2.37,26,5.58,1.79,,,,50,4.5,2.27,24,4.96,2.25,26,4.08,2.28,,,,53,4.68,2.54,27,5.26,2.32,26,4.08,2.77,,,,342677.3333,2016,8.74,0.50,0.25,0.25,0.00,0.00,0.00,0.00
177,"Could it be that the whole evening had been a deceitful game, arranged to elicit sympathy from me?","Czyżby cały wieczór był oszukańczą grą, zaaranżowaną po to, aby nabrać mnie na współczucie?",14,91,3.35,5.62,4.21,4.44,4.84,5.56,52,3.35,1.22,26,2.85,1.15,26,3.85,1.29,,,,52,5.62,2.16,26,6.04,2.3,26,5.19,2.02,,,,52,4.21,2.64,26,4.69,2.72,26,3.73,2.56,,,,52,4.44,2.18,26,4.77,2.09,26,4.12,2.27,,,,56,4.84,2.4,26,4.5,2.57,30,5.13,2.25,,,,52,5.56,2.47,26,6.04,2.41,26,5.08,2.53,,,,437087.1538,49676,9.82,0.33,0.17,0.17,0.00,0.08,0.17,0.08
178,Decisions made in the past shape our present.,Decyzje podjęte w przeszłość i kształtują naszą teraźniejszość.,7,62,4.92,4.1,5.75,6.46,6.7,4.06,52,4.92,1.49,26,4.92,1.38,26,4.92,1.59,,,,52,4.1,2.11,26,4.19,1.97,26,4,2.26,,,,52,5.75,2.46,26,6.15,2.29,26,5.35,2.62,,,,52,6.46,2.59,26,6.19,2.44,26,6.73,2.75,,,,53,6.7,1.93,27,6.96,1.67,26,6.42,2.19,,,,51,4.06,2.6,25,4.56,2.77,26,3.58,2.44,,,,407737,3042.5,8.64,0.38,0.13,0.25,0.00,0.13,0.13,0.00
179,Why must failures always travel in packs?,Dlaczego porażki zawsze muszą chodzić stadami?,6,46,3.43,5.38,3.83,5.27,4.79,4.71,53,3.43,1.51,27,3.48,1.57,26,3.38,1.45,,,,52,5.38,2.23,26,5.85,2.29,26,4.92,2.18,,,,52,3.83,2.16,26,3.08,2,26,4.58,2.32,,,,52,5.27,2.45,26,5.35,2.36,26,5.19,2.53,,,,52,4.79,2.33,26,5.85,2.21,26,3.73,2.45,,,,52,4.71,2.65,26,4.38,2.73,26,5.04,2.58,,,,58668,11548,9.67,0.20,0.00,0.40,0.00,0.00,0.00,0.40
180,"She wore her long dark hair braided, and there was no trace of make-up on her face. ","Długie ciemne włosy nosiła splecione w warkocz, a na twarzy nie było śladu makijażu.",14,84,6.28,3.76,5.52,4.2,3.96,5.31,53,6.28,1.74,26,5.62,1.64,27,6.93,1.84,,,,51,3.76,2.33,26,3.35,2.27,25,4.2,2.4,,,,52,5.52,2.27,26,5.27,2.25,26,5.77,2.3,,,,51,4.2,2.29,25,4.16,2.42,26,4.23,2.17,,,,52,3.96,2.46,26,2.88,2.49,26,5.04,2.43,,,,52,5.31,2.32,26,5.38,2.35,26,5.23,2.28,,,,572269.6429,6059.5,9.41,0.36,0.14,0.21,0.00,0.07,0.14,0.07
181,Tears of joy filled his eyes because here he had found the scent again.,"Do oczu napłynęły mu łzy szczęścia, że oto znowu odnalazł ten zapach.",12,69,7.35,5.18,5.25,2.81,4.5,4.38,52,7.35,1.68,26,7.81,1.84,26,6.88,1.52,,,,51,5.18,2.53,26,5.23,2.46,25,5.12,2.61,,,,52,5.25,2.51,26,5.27,2.6,26,5.23,2.42,,,,52,2.81,1.49,26,2.69,1.3,26,2.92,1.68,,,,50,4.5,2.3,24,5,2.25,26,4.04,2.34,,,,53,4.38,2.75,27,3.74,2.76,26,5.04,2.73,,,,230428.25,15511,9.56,0.36,0.09,0.18,0.00,0.09,0.09,0.18
182,A run of good luck is something ephemeral and transient; it can end at any time.,"Dobra passa to coś ulotnego i przemijającego, może w każdej chwili się skończyć.",13,80,4.48,4.84,4.46,5.85,4.62,5.13,52,4.48,1.64,26,4.15,1.6,26,4.81,1.68,,,,51,4.84,2.24,25,4.76,2.37,26,4.92,2.11,,,,52,4.46,2.3,26,3.42,2.39,26,5.5,2.2,,,,52,5.85,2.42,26,5.62,2.68,26,6.08,2.16,,,,52,4.62,2.31,26,4.58,2.13,26,4.65,2.48,,,,52,5.13,1.92,26,4.88,2.23,26,5.38,1.61,,,,704132.6923,133983,10.16,0.38,0.15,0.15,0.00,0.08,0.08,0.15
183,A good bluff requires us to maintain a straight face despite emotions boiling within us.,Dobry blef wymaga od nas utrzymania kamiennej twarzy pomimo gotujących się w nas emocji.,14,88,5.77,3.66,6.33,7.21,5.16,3.73,52,5.77,1.96,26,5.81,2.1,26,5.73,1.83,,,,53,3.66,2.22,26,3.81,2.35,27,3.52,2.1,,,,51,6.33,2.42,26,6.38,2.6,25,6.28,2.24,,,,53,7.21,1.49,27,6.85,1.38,26,7.58,1.6,,,,50,5.16,2.76,24,5.5,2.77,26,4.85,2.76,,,,52,3.73,2.06,26,3.73,2.06,26,3.73,2.07,,,,337728.3571,6571,9.08,0.33,0.17,0.17,0.00,0.00,0.25,0.08
184,"A good deed does not cancel out a bad one, or the other way around; each deserves its own recompense. ","Dobry uczynek nie unieważnia złych, ani zły dobrych, za każdy należy się oddzielna odpłata.",14,91,5.5,3.82,5.23,5.61,5.81,4.42,52,5.5,1.67,26,5.12,1.58,26,5.88,1.77,,,,50,3.82,1.96,24,4.04,1.91,26,3.62,2,,,,53,5.23,1.8,27,5.37,1.69,26,5.08,1.92,,,,51,5.61,2.82,25,5.52,2.98,26,5.69,2.67,,,,53,5.81,2.17,27,5.67,2.12,26,5.96,2.23,,,,52,4.42,2.39,26,4.73,2.39,26,4.12,2.39,,,,482497.2143,15617,8.99,0.14,0.43,0.14,0.00,0.07,0.07,0.14
185,Adolescence is really crap; it’s good that you only have to go through it once.,"Dojrzewanie to jest naprawdę syf, dobrze, że przechodzi się przez to tylko raz.",13,79,4.5,4.44,4.67,5,4.55,4.1,52,4.5,1.22,26,4.58,1.15,26,4.42,1.3,,,,52,4.44,2.12,26,4.73,2.35,26,4.15,1.9,,,,52,4.67,2.51,26,4.81,2.44,26,4.54,2.58,,,,53,5,2.34,27,5.07,2.26,26,4.92,2.42,,,,51,4.55,2.16,25,4.84,2.23,26,4.27,2.1,,,,52,4.1,2.29,26,4.46,2.26,26,3.73,2.33,,,,891744.7692,268084,11.68,0.25,0.00,0.25,0.08,0.08,0.08,0.25
186,Apathy and helplessness descend upon me whenever I see evil happening before my eyes.,"Dopada mnie apatia i bezsilność zawsze wtedy, kiedy widzę zło dziejące się na moich oczach.",15,91,2.94,5.12,3.51,3.23,6.4,5.2,53,2.94,2.33,27,2.78,2.63,26,3.12,2.03,,,,52,5.12,2.27,26,5.15,2.32,26,5.08,2.21,,,,51,3.51,2.6,26,3.54,2.63,25,3.48,2.57,,,,52,3.23,2.29,26,3.04,2.44,26,3.42,2.15,,,,52,6.4,2.31,26,6.73,2.44,26,6.08,2.18,,,,50,5.2,2.85,24,5.08,2.91,26,5.31,2.79,,,,420807.3333,38117,9.5,0.29,0.07,0.21,0.00,0.14,0.07,0.21
187,"As long as you fight and keep trying, you are a winner.","Dopóki walczysz i podejmujesz starania, jesteś zwycięzcą.",7,57,7.25,5.31,7.41,4.37,6.85,4.04,52,7.25,1.92,26,7.96,1.83,26,6.54,2.02,,,,52,5.31,2.78,26,5.19,2.56,26,5.42,3,,,,56,7.41,2.02,26,7.88,1.65,30,7,2.34,,,,52,4.37,2.6,26,4.65,2.45,26,4.08,2.74,,,,52,6.85,2.12,26,6.65,2.18,26,7.04,2.07,,,,52,4.04,2.3,26,3.85,2.6,26,4.23,2.01,,,,256189.2857,1068,8.85,0.29,0.00,0.43,0.00,0.29,0.00,0.00
188,The path appears as you travel it.,"Droga pojawia się w miarę, jak nią podążasz.",8,44,6.16,3.58,5.87,5.52,5.58,5.04,56,6.16,1.71,26,6.46,1.66,30,5.9,1.76,,,,52,3.58,2.48,26,3.54,2.56,26,3.62,2.41,,,,52,5.87,2.02,26,6.73,2.06,26,5,1.98,,,,52,5.52,2.49,26,5.85,2.63,26,5.19,2.34,,,,52,5.58,2.2,26,5.38,2.24,26,5.77,2.17,,,,52,5.04,2.59,26,5.31,2.61,26,4.77,2.57,,,,611528,31518.5,10.3,0.29,0.00,0.29,0.00,0.14,0.14,0.14
189,The children had not had a loaf of bread in their mouths in a long time.,Dzieci nie miały od dawna w ustach bochenka chleba.,9,51,1.87,6.14,2.75,4.62,6.54,5.23,52,1.87,1.66,26,1.81,1.74,26,1.92,1.59,,,,56,6.14,2.53,26,6.73,2.33,30,5.63,2.71,,,,52,2.75,2.38,26,2.54,2.37,26,2.96,2.4,,,,52,4.62,2.51,26,3.92,2.62,26,5.31,2.39,,,,52,6.54,2.61,26,6.92,2.42,26,6.15,2.8,,,,52,5.23,2.92,26,6.85,2.99,26,3.62,2.86,,,,658600.4444,5793,9.71,0.44,0.11,0.11,0.00,0.00,0.22,0.11
190,"Thanks to her hard work, Maggie could go abroad to work.",Dzięki ciężkiej pracy Magda mogła wyjechać do pracy na kontrakt zagraniczny.,11,76,6.48,4.48,6.65,7.27,6.4,5.53,52,6.48,1.98,26,6.92,1.81,26,6.04,2.15,,,,52,4.48,2.72,26,4.88,2.77,26,4.08,2.68,,,,52,6.65,2.63,26,7.08,2.65,26,6.23,2.6,,,,52,7.27,1.95,26,6.92,2.07,26,7.62,1.83,,,,52,6.4,2.43,26,6.88,2.2,26,5.92,2.65,,,,53,5.53,2.51,26,5.46,2.63,27,5.59,2.4,,,,250992.9091,15618,9.46,0.36,0.18,0.18,0.00,0.00,0.27,0.00
191,Thank you for noticing me among the crowd of other people.,"Dziękuję, że mnie zauważyłeś, wśród tłumu innych osób.",8,54,7.21,5.46,5.25,3.5,5.56,4.27,52,7.21,1.42,26,7.42,1.5,26,7,1.35,,,,52,5.46,2.4,26,5.62,2.63,26,5.31,2.18,,,,52,5.25,2.36,26,4.85,2.53,26,5.65,2.19,,,,52,3.5,1.78,26,3.5,1.92,26,3.5,1.65,,,,52,5.56,2.29,26,6.27,2.4,26,4.85,2.17,,,,52,4.27,2.42,26,3.92,2.47,26,4.62,2.36,,,,261594,14987,10.11,0.29,0.14,0.29,0.00,0.14,0.14,0.00
192,"Today Kate got up just after sunrise, intending to spend at least an hour in the garden before leaving.","Dziś Kasia wstała tuż po wschodzie słońca, zamierzając przed wyjściem spędzić przynajmniej godzinę w ogródku.",15,109,5.43,2.87,5.98,5.67,3.06,5.23,53,5.43,2.14,27,5.3,2.3,26,5.58,1.98,,,,52,2.87,1.75,26,2.73,1.86,26,3,1.64,,,,52,5.98,2.19,26,6,2.14,26,5.96,2.24,,,,52,5.67,2.52,26,6,2.48,26,5.35,2.55,,,,52,3.06,2.18,26,2.42,2.13,26,3.69,2.24,,,,52,5.23,2.28,26,5.96,2.16,26,4.5,2.4,,,,154074.3333,4898,8.46,0.33,0.00,0.27,0.00,0.00,0.20,0.20
193,"It is a strange nature we have; the less sacrifice we ourselves are willing to make, the more insistently we demand it of others. ","Dziwna jest nasza natura, bo im mniej sami mamy skłonności do poświęcenia, tym natarczywiej żądamy go od innych.",18,112,3.75,4.46,4.98,5.19,5.6,4.76,52,3.75,1.83,26,3.85,1.75,26,3.65,1.92,,,,52,4.46,2.27,26,4.77,1.99,26,4.15,2.56,,,,52,4.98,2.13,26,5.15,2.1,26,4.81,2.16,,,,52,5.19,2.85,26,5.27,2.98,26,5.12,2.72,,,,53,5.6,2.41,26,6.62,2.21,27,4.63,2.6,,,,51,4.76,2.37,26,4.42,2.42,25,5.12,2.33,,,,219732.9412,20354,10.14,0.25,0.25,0.19,0.06,0.13,0.13,0.00
194,Holidays and vacation are two words that cannot be erased from the student’s lexicon.,"Ferie i wakacje to dwa słowa, których nie można wymazać ze słownika studenta.",13,77,7.9,4.79,6.42,4.57,6.13,5.57,52,7.9,1.53,26,7.96,1.64,26,7.85,1.41,,,,52,4.79,2.64,26,6.23,2.81,26,3.35,2.46,,,,52,6.42,2.41,26,6.38,2.31,26,6.46,2.5,,,,56,4.57,2.1,26,4.23,2.06,30,4.87,2.13,,,,52,6.13,3.01,26,6.81,3.16,26,5.46,2.86,,,,51,5.57,2.77,26,5.96,2.9,25,5.16,2.64,,,,655057.4615,22067,9.88,0.55,0.09,0.09,0.00,0.09,0.09,0.09
195,The stench of corpses was so strong that even the gravediggers left.,"Fetor zwłok był tak mocny, że wynieśli się stąd nawet grabarze.",11,63,2.92,4.83,3.39,5.04,3.98,5.98,52,2.92,2.26,26,2.62,2.25,26,3.23,2.27,,,,52,4.83,2.69,26,5.12,2.61,26,4.54,2.77,,,,56,3.39,2.45,26,3,2.08,30,3.73,2.77,,,,52,5.04,2.65,26,5.35,2.66,26,4.73,2.63,,,,52,3.98,2.32,26,3.92,2.21,26,4.04,2.43,,,,52,5.98,2.43,26,6.27,2.43,26,5.69,2.43,,,,447131.7273,54989,9.44,0.27,0.09,0.18,0.00,0.09,0.00,0.36
196,Tom’s company began to achieve great success on the international stage.,Firma Tomka zaczęła odnosić wielkie sukcesy na arenie międzynarodowej.,9,70,7.29,5.21,7.31,7.6,5.55,5.56,51,7.29,1.31,26,7.35,1.29,25,7.24,1.33,,,,52,5.21,2.92,26,5.38,3.07,26,5.04,2.78,,,,52,7.31,1.96,26,7.54,2.02,26,7.08,1.91,,,,50,7.6,1.46,24,7.71,1.27,26,7.5,1.65,,,,53,5.55,2.64,27,5.37,2.62,26,5.73,2.66,,,,52,5.56,2.29,26,6.04,2.21,26,5.08,2.38,,,,170306.4444,580,7.34,0.44,0.22,0.22,0.00,0.00,0.11,0.00
197,Flirting gives the satisfaction of being appreciated by potential partners.,Flirtowanie daje satysfakcję związaną z docenieniem przez potencjalnych partnerów.,9,82,6.88,4.94,6.31,4.94,5.06,4.92,52,6.88,1.29,26,6.62,1.18,26,7.15,1.41,,,,53,4.94,2.4,26,5.31,2.65,27,4.59,2.16,,,,51,6.31,1.96,26,5.81,2.29,25,6.84,1.61,,,,51,4.94,2.73,25,4.64,2.86,26,5.23,2.6,,,,52,5.06,2.25,26,5.04,2.24,26,5.08,2.26,,,,52,4.92,2.1,26,4.69,2.01,26,5.15,2.19,,,,193319.375,458.5,7.89,0.38,0.13,0.25,0.00,0.00,0.25,0.00
198,His throat hurt so much that he couldn’t eat anything for three days.,"Gardło bolało go tak bardzo, że przez trzy dni nie mógł niczego jeść.",13,69,2.62,4.04,3.42,5.23,4.25,4.23,52,2.62,2.13,26,2.08,2.05,26,3.15,2.2,,,,52,4.04,2.92,26,4.19,2.84,26,3.88,3,,,,52,3.42,2.31,26,3.04,2.23,26,3.81,2.39,,,,52,5.23,2.52,26,5.27,2.56,26,5.19,2.48,,,,52,4.25,2.19,26,3.96,2.12,26,4.54,2.25,,,,53,4.23,2.32,26,3.88,2.49,27,4.56,2.16,,,,539861.3077,41177,11.25,0.27,0.00,0.27,0.09,0.09,0.09,0.18
