Words,Length,AROU M,AROU SD,VAL M,VAL SD
destruction,11,5.353,2.531,2,1.474
detach,6,3.375,1.933,3.484,1.012
detached,8,3.114,1.982,3.375,1.023
detail,6,4.697,2.468,6.114,1.166
detailed,8,4.727,2.019,6.125,1.269
determination,13,7.235,1.373,8.029,0.985
determine,9,5.177,2.135,6.286,1.209
determined,10,7.015,1.762,7.478,1.25
detest,6,5.097,2.557,2.3,1.418
detonate,8,5.818,2.668,2.515,1.395
detonation,10,6.121,2.409,3.125,1.341
develop,7,5.206,1.997,6.794,1.278
development,11,5.161,1.706,6.727,1.262
deviant,7,5.147,2.315,2.794,1.491
deviation,9,4.576,2.001,4.441,1.459
device,6,3.824,2.135,5.371,0.796
devil,5,5.906,2.337,2.25,1.5
devise,6,4.559,1.897,4.677,1.49
devote,6,5.853,2.185,7.088,1.463
devoted,7,5.182,2.124,7.182,1.359
devotion,8,5.914,2.183,7.743,1.48
diabetes,8,4.625,2.058,2.333,0.974
diamond,7,6.031,1.912,7.188,1.776
diamonds,8,7.177,1.581,7.171,1.828
dice,4,4.567,2.108,4.968,0.897
dictionary,10,3.121,1.822,6,1.26
die,3,4.576,3.065,2.114,1.703
died,4,5.094,2.72,1.758,1.207
diffusion,9,3.529,1.649,5.471,1.311
digest,6,3.242,1.457,5.143,1.355
digestion,9,3.25,1.561,5.939,1.347
digit,5,3.294,2.122,5.029,0.514
digit (finger),5,3.771,2.085,5,0.633
digit (number),5,3.212,1.996,5.177,0.452
digital,7,4.382,2.183,6.143,1.125
digits,6,3.424,1.724,4.943,0.674
digits (fingers),6,4.059,1.781,5.229,0.59
digits (numbers),6,3.829,1.964,4.971,1.207
dignified,9,4.667,2.357,7.758,0.889
dignity,7,5.114,1.879,7.588,1.286
dildo,5,6,2.086,5.333,1.57
dim,3,2.941,1.765,3.727,1.213
dinner,6,5.606,2.014,6.714,1.406
dinosaur,8,5.771,2.747,5.4,1.247
diploma,7,6.125,2.26,7.152,1.654
diplomat,8,3.742,1.849,5.71,1.549
dire,4,3.71,2.203,2.281,1.205
direct,6,5.088,1.884,6,1.414
direction,9,4.758,1.478,5.849,1.158
dirt,4,3.147,1.849,2.971,1.124
dirty,5,4.824,2.107,2.971,0.985
disappoint,10,4,2.138,2.457,1.179
disappointed,12,3.818,2.022,2.441,1.168
disaster,8,5.794,3.066,1.333,0.765
disband,7,3.469,1.677,3.875,1.218
disciple,8,3.714,2.05,5.2,1.704
discipline,10,4.563,2.277,4.719,2.225
disclose,8,4.219,1.452,4.5,1.436
disclosure,10,3.714,2.198,4.939,1.254
disco,5,6.303,1.766,6.375,1.85
discomfort,10,5.281,2.004,2.697,1.243
disconnect,10,3.25,1.871,3.5,1.17
discourage,10,3.235,1.832,3.118,1.471
discover,8,6.188,2.038,7,1.118
discovery,9,6.912,1.805,7.429,1.271
discrete,8,4.125,1.763,5.147,1.286
discretion,10,3.818,1.623,5.182,1.566
disdain,7,4.4,2.304,2.867,1.384
disease,7,4.059,2.532,1.765,0.73
diseased,8,3.882,2.731,1.667,0.682
disfigured,10,4.412,2.534,2.588,0.911
disgust,7,4.514,2.196,2.371,1.071
disgusted,9,4.576,2.64,2.029,0.91
disgusting,10,4,2.798,1.829,0.971
dish,4,3.5,1.893,5.194,0.931
disloyal,8,4.543,2.297,2.029,1.183
dismiss,7,3.576,1.97,3.212,1.409
disparity,9,3.433,2.077,3.125,1.218
displeased,10,4.286,2.159,2.371,0.865
dispose,7,3.265,1.559,3.353,1.16
disposition,11,4.031,1.811,4.548,1.042
dissent,7,4.355,2.28,3.1,1.044
dissident,9,4.679,2.346,3.852,1.671
distant,7,3.5,1.613,3.97,1.403
distinction,11,5.147,1.865,6.647,1.512
distinguish,11,4.594,1.8,5.606,0.776
distract,8,4.143,1.823,3.735,1.038
distraction,11,4.588,1.833,3.912,1.172
distress,8,5.457,2.43,2.286,1.3
distressed,10,4.294,2.295,2.647,1.21
disturb,7,5.265,2.343,2.849,1.158
disturbed,9,4.353,2.113,2.091,0.996
ditch,5,3.469,1.695,3.424,1.256
dive,4,5.314,2.148,5.6,1.126
diver,5,4.438,1.968,5.125,1.083
diverse,7,5.088,1.991,7.229,1.333
divert,6,4.394,1.969,4.344,1.019
divination,10,3.833,2.075,5.556,1.873
divine,6,6.125,1.996,7.469,1.541
divorce,7,5.094,2.35,2.581,1.498
dizzy,5,4.839,1.885,3.516,1.043
docile,6,2.533,1.408,5.065,1.105
dock,4,3.514,1.713,4.971,0.56
dock (deduct),4,3.903,2.22,3.424,1.436
dock (ship),4,3.719,2.211,5.382,1.237
doctor,6,5.088,1.721,6.118,1.795
doctrine,8,4.968,2.469,4.871,2.166
document,8,3.25,1.658,5,0.603
dodgy,5,4.257,1.794,2.788,0.977
dog,3,6.147,2.185,7.067,1.237
dogma,5,5.192,2.167,3.357,1.368
dole,4,3.333,1.764,3.107,1.319
doll,4,3.515,1.828,5.765,0.877
dollar,6,5.706,1.775,5.743,1.461
dolls,5,3.882,1.811,5.559,1.376
dolphin,7,5.406,1.998,6.531,1.601
dome,4,3.406,1.835,5.188,1.31
dominate,8,6.914,1.857,3.941,1.878
donkey,6,3.706,2.149,5.182,0.968
doom,4,5.688,2.698,1.636,0.979
doomed,6,4.906,2.65,1.645,1.309
door,4,2.818,1.783,5.333,0.974
doorman,7,3.429,1.745,4.943,1.194
dope,4,3.903,1.924,4.226,1.698
dope (drugs),4,5.5,2.416,2.677,1.429
dope (idiot),4,3.353,1.696,2.543,1.227
dopey,5,3.125,1.949,3.576,1.156
dose,4,3.171,1.905,4.576,1.045
doubt,5,4.273,1.927,2.971,0.985
dough,5,4.121,2.027,5.588,0.878
dough (baking),5,4.706,2.243,6.206,1.346
dough (money),5,5.485,2.311,6.314,1.982
dove,4,4.059,2.222,6.273,1.42
dove (bird),4,4.529,2.239,6.686,1.526
dove (dive),4,4.438,2.045,4.939,1.013
down,4,3.303,1.784,3.941,1.413
down (direction),4,3.188,1.648,4.147,1.24
down (fur),4,3,1.968,4.844,1.228
down (sad),4,3.188,1.845,2.75,1.09
drab,4,2.364,1.322,3.364,1.251
draft,5,3.727,2.049,5.091,1.026
draft (breeze),5,3.515,1.925,4.788,1.665
draft (first version),5,3.177,1.599,5.382,1.029
drag,4,3.794,1.937,3.714,1.11
dragon,6,6.781,2.042,4.938,1.456
drama,5,5.647,2.14,4.471,1.736
draught,7,4.103,2.187,3.483,1.355
draw,4,4.697,2.11,6.029,1.159
draw (artistic),4,5.152,2.076,6.143,1.125
draw (attract),4,6.206,1.828,6.824,1.294
draw (choose),4,4.514,1.68,5.486,0.841
draw (tie),4,3.313,1.59,4.909,0.621
drawers,7,2.912,1.634,5.147,0.354
drawing,7,4.771,2.058,6.029,1.295
dread,5,5.548,2.153,2.065,0.878
dream,5,6.303,2.195,7.406,1.114
dreams,6,6.667,1.385,6.849,1.417
dreary,6,2.656,1.383,2.657,0.984
dress,5,5.629,2.451,6.371,1.311
dress (formal),5,5.688,1.861,6.645,1.404
dress (put on clothes),5,5.265,1.899,6.212,1.122
dress (skirt),5,5.788,2.085,6,1.069
dressed,7,4.364,2.012,6.273,1.309
dresser,7,4.286,2.172,5.5,0.777
drift,5,3.515,1.54,4.471,1.194
drifter,7,3.853,1.896,4.088,1.039
drifting,8,4.219,1.866,4.5,1.243
drill,5,4.441,2.592,4.273,1.188
drill (practice),5,4.324,2.193,4.485,1.184
drill (tool),5,3.629,2.03,4.943,1.286
drive,5,4.813,2.364,5.774,0.974
drive (car),5,5.529,2.239,5.886,1.282
drive (motivation),5,6.375,2.058,7.6,1.151
drop,4,3.606,2.014,3.8,1.238
drop (fall),4,4.469,2.136,3.438,1.088
drop (rain),4,3.765,2.073,5.086,1.481
dropped,7,3.8,2.054,3.486,0.906
drought,7,3.688,2.007,2.353,1.797
drown,5,4.647,2.622,1.853,0.912
drug,4,5.886,2.108,4.206,2.324
drugged,7,4.471,2.342,2.235,1.059
drum,4,5.419,2.091,5.469,1.199
drummer,7,5.457,1.887,5.857,1.15
drums,5,6.172,1.84,6.061,1.301
drunk,5,5.794,2.097,4.8,1.753
dubious,7,4.167,1.79,3.29,1.141
duck,4,4.4,1.607,5.686,1.09
duck (bird),4,3.121,2.027,5.788,1.008
duck (cricket),4,2.793,1.73,4.815,0.611
duck (crouch),4,3.941,2.071,4.514,1.105
duet,4,4.667,2.04,5.735,1.72
duke,4,3.546,2.203,5.588,1.331
dull,4,2.057,1.393,2.694,1.221
dumb,4,3.546,1.827,2.813,1.13
dummy,5,3.206,1.762,3.853,1.498
dummy (idiot),5,3.229,1.838,2.143,1.046
dummy (mannequin),5,3.265,1.559,4.697,0.937
dummy (nipple),5,4,2.058,5.364,1.01
dump,4,3.618,1.847,2.941,1.162
dune,4,4.375,1.709,5.097,1.146
dung,4,2.818,2.037,3.469,1.25
dungeon,7,5.206,2.483,2.441,1.418
durable,7,4.647,2.154,7,1.163
dusk,4,4.471,2.076,5.667,0.974
dust,4,2.714,1.666,3.771,1.197
dustbin,7,2.094,1.508,4.125,1.654
duster,6,2.719,1.681,4.857,0.899
dustpan,7,2.281,1.441,4.5,1.289
dusty,5,3.667,1.627,3.424,1.102
duty,4,3.824,2.162,5.029,1.618
duvet,5,5.258,2.228,6.516,1.411
dwarf,5,4.484,1.624,4.452,1.291
dwell,5,3.484,1.644,4.065,1.343
dye,3,3.594,1.598,5.25,0.866
dying,5,5.853,2.415,1.909,1.24
dynamite,8,7.594,1.343,3.788,1.871
dynasty,7,5.188,2.242,4.967,1.741
eager,5,6.656,1.743,6.824,1.339
eagle,5,5.912,2.12,5.971,1.823
ear,3,3.471,1.898,5.353,0.8
earn,4,5.914,1.857,7.177,1.2
earphones,9,3.97,2.007,5.765,1.113
earth,5,4.765,2.184,6.229,1.354
earthquake,10,6.118,2.311,2.171,0.971
ease,4,4.314,2.108,6.914,1.273
easy,4,4.914,2.02,6.8,1.26
easygoing,9,4.563,2.135,7.576,1.102
eat,3,5.886,2.352,6.529,1.218
eatery,6,4.273,2.313,5.818,1.192
eccentric,9,6.5,2.096,6.125,1.883
economic,8,3.515,2.311,4.581,1.774
economy,7,4.455,1.827,3.939,1.613
ecstasy,7,6.971,2.216,7.152,2.002
ecstatic,8,7.697,1.566,8.412,0.844
edge,4,5.412,2.157,4.914,1.381
edifice,7,3.9,1.947,4.941,0.873
edit,4,3.706,1.758,4.971,0.785
edition,7,3.943,1.492,5.229,0.929
editor,6,4.031,1.794,5.129,1.039
educate,7,5.2,2.149,7.441,1.499
education,9,5.182,1.93,7.353,1.16
eel,3,3.559,1.943,4.765,1.307
eerie,5,5.559,2.329,2.971,1.361
efficient,9,5.088,1.869,7.794,1.183
effort,6,5.121,1.855,5.879,2.027
egg,3,3.371,1.658,5.457,1.051
ego,3,4.313,2.128,3.031,1.61
elaborate,9,4.788,1.935,5.914,1.228
elated,6,6.5,2.062,7.938,1.435
elation,7,6.515,2.5,7.939,1.301
elbow,5,3.677,1.574,5.065,0.435
elder,5,3.724,1.72,5.645,1.259
eldest,6,4.387,1.912,6.094,1.284
electric,8,6.5,1.639,6.088,1.337
electrician,11,3.313,1.81,5,0.968
electricity,11,5.849,2.12,6.086,1.251
electronic,10,4.939,2.044,6.029,1.317
elegant,7,6.212,1.838,7.788,1.008
elephant,8,4.864,2.201,5.938,1.31
elevator,8,4,1.91,5.571,1.695
elf,3,4.647,2.248,6.091,1.357
elite,5,5.941,1.955,6.457,2.047
elitist,7,5.031,2.023,3.588,1.957
elk,3,3.867,2.012,5.333,0.943
elm,3,3.882,1.567,5.794,1.106
elude,5,4.323,2.07,4.375,1.452
emancipation,12,5.655,2.323,5.035,2.125
embarrass,9,4.559,2.523,2.353,0.997
embarrassment,13,4.849,2.607,2.258,1.077
embezzle,8,4.967,2.183,2.548,1.316
embrace,7,6.636,1.872,7.943,1.145
emerald,7,5.767,1.542,6.273,1.213
emergency,9,6.576,2.617,1.969,0.883
emotion,7,5.969,1.63,6.152,1.725
emotional,9,6.364,1.839,4.788,1.966
empathy,7,5.382,2.262,7.265,1.313
emphasis,8,5.849,2.062,6.177,1.361
emphasize,9,5.882,1.728,6.333,1.247
empire,6,5.943,1.956,5.343,1.866
employ,6,4.485,1.94,5.912,1.634
employee,8,3.647,2.071,5.971,1.32
employer,8,3.677,1.89,4.677,1.548
employment,10,4.853,2.303,7.143,1.515
emporium,8,4.531,2.562,5.969,1.425
empty,5,3.097,1.51,2.969,1.212
enact,5,3.771,1.958,5.161,1.019
encore,6,5.719,2.348,6.625,1.053
encyclopedia,12,4.242,2.375,6.118,1.278
end,3,4.438,2.344,3.212,1.771
ending,6,3.647,2.261,3.382,1.645
endless,7,4.063,2.106,4.727,1.78
endure,6,4.059,2.014,4.6,2.003
engage,6,5.788,1.629,6.314,0.979
engaged,7,5.909,2.379,6.588,1.458
engagement,10,6.387,1.844,7.094,1.528
engaging,8,6.412,1.7,7.235,0.972
engine,6,4.294,2.358,5.882,1.207
engineer,8,3.844,1.986,6.091,1.083
enhance,7,5.971,1.844,7,1.213
enjoy,5,6.219,1.916,7.5,1.036
enjoyment,9,7.471,1.419,8.177,0.89
enquire,7,4.714,1.845,5.486,1.105
enquiry,7,3.879,2.345,5.25,1.436
enraged,7,6.686,1.968,2.171,1.298
ensure,6,3.765,1.941,6.114,1.282
entail,6,4.125,1.883,4.906,0.843
enter,5,4.794,2.483,5.857,1.125
enterprise,10,4.559,2.303,6.083,1.516
enthral,7,6.63,1.808,6.071,1.87
enthusiasm,10,6.912,1.652,8,0.97
enthusiastic,12,7.882,1.051,8.314,0.785
entitle,7,4.364,2.057,5.387,1.098
entrepreneur,12,5.53,2.311,6.672,1.542
entry,5,4.594,1.748,6.212,1.037
envelope,8,2.941,1.814,5.152,0.557
epidemic,8,6.294,2.23,1.853,0.845
episode,7,4.515,1.909,5.294,0.925
episodic,8,4.552,2.634,4.484,1.188
equal,5,4.364,1.967,6.219,1.495
equality,8,6.406,1.748,8.242,1.102
equipment,9,3.853,2.264,5.314,1.214
erase,5,3.469,1.871,4.065,1.318
erode,5,3.6,2.127,3.371,1.658
eroded,6,4.125,2.088,2.971,1.276
erotic,6,7.879,1.719,7.182,1.359
errand,6,3.29,1.726,5.097,1.058
error,5,4.5,2.013,2.71,1.223
eruption,8,7.2,1.653,3.257,1.499
escape,6,5.844,2.093,5.677,1.905
escaped,7,5.813,2.603,5.576,2.031
escapee,7,6.177,1.917,3.824,1.723
escort,6,4.543,2.129,5.059,1.211
essence,7,5.667,1.98,6.091,1.19
estate,6,4.029,1.774,5.147,1.375
estimate,8,2.97,1.586,4.941,0.802
ethnic,6,4.807,1.786,5.031,1.63
euphoria,8,7.818,1.678,8.313,1.333
evaluate,8,4.429,1.902,5.2,1.09
evangelist,10,4.25,2.429,4.138,1.591
even,4,3.429,1.825,5.853,1.216
even (odd),4,3.265,1.99,5.882,1.323
even (still),4,3.486,1.519,5.063,0.747
evening,7,4.914,2.489,6.029,1.159
event,5,5.5,2.278,6.279,1.304
ever,4,4.546,2.388,5.25,1.346
every,5,4.182,2.194,5.971,1.224
everything,10,5.735,2.343,6.714,1.56
evidence,8,4.515,1.956,6.061,1.455
evil,4,5.559,2.569,1.514,1.079
evoke,5,5.548,1.915,5.774,1.288
exact,5,3.882,1.843,5.971,1.2
exam,4,4.853,2.669,3.206,1.906
examination,11,5.618,2.723,3.471,1.557
excel,5,5.909,2.021,6.909,1.658
excellence,10,6.657,1.999,8.457,1.13
excellent,9,6.625,2.434,8.563,0.827
excited,7,7.882,1.641,8.143,1.046
excitement,10,7.697,1.732,8.294,0.824
exciting,8,7.606,1.669,8,1.195
exclaim,7,6.774,1.754,6,1.173
exclude,7,3.688,1.776,2.576,1.045
exclusion,9,4.029,2.37,2.571,1.316
excrement,9,4.061,2.424,2.667,1.318
excuse,6,4.25,1.803,3.636,1.432
execute,7,5.455,2.571,2.088,1.56
execute (accomplish),7,5.571,2.284,7.086,1.873
execute (kill),7,5.606,2.933,1.485,1.131
execution,9,5.514,2.13,2.057,1.413
executioner,11,6.091,2.391,1.943,1.492
exercise,8,6.265,2.034,6.706,1.582
exert,5,5.618,1.925,4.771,1.173
exertion,8,6,1.918,4.625,1.409
exhaust,7,4.125,2.302,3.697,1.507
exhausted,9,3.4,2.405,2.714,0.848
exhaustion,10,3.647,2.656,2.441,1.063
exhibit,7,4.706,2.066,5.879,1.066
exist,5,5.063,2.15,6.314,1.368
existence,9,5.912,2.049,7.057,1.492
expand,6,4.906,1.792,6.125,1.023
expanse,7,4.455,2.388,6.065,1.343
expedition,10,6.571,1.777,6.571,1.154
expel,5,4.647,2.127,3.485,1.52
expensive,9,6.059,1.644,3.457,1.38
experiment,10,5.625,2.247,5.647,1.185
expert,6,6.226,1.408,7.531,1.03
explain,7,4.294,1.948,6.171,1.134
exploration,11,7,2.015,6.941,1.434
explore,7,7.424,1.907,7.286,1.136
explorer,8,6.212,2.027,6.606,1.179
export,6,4,1.792,5.242,1.102
express,7,5.457,2.156,6.171,1.404
expression,10,5.406,2.37,6.313,1.356
exquisite,9,5.971,2.189,7.941,0.838
exterminate,11,5.774,2.779,2.382,1.476
extravagant,11,6.441,2.017,6.324,1.778
extreme,7,6.781,2.232,4.594,1.674
eye,3,3.886,1.686,5.629,1.044
eyebrows,8,3.546,1.986,5.353,0.762
eyelashes,9,5.063,1.903,6.364,1.494
eyes,4,5.441,2.061,6.294,1.099
fabric,6,3.886,1.72,5.6,0.901
fabricate,9,4.636,2.199,4.424,1.415
fabrication,11,4.382,1.847,3.969,1.61
fabulous,8,6.636,1.534,8.029,0.91
face,4,5.125,1.798,5.677,1.353
Facebook,8,4.971,2.348,4.857,1.743
facility,8,3.657,1.739,5.629,1.149
fact,4,4.576,2.283,6.576,1.393
faction,7,4.379,2.311,4.893,0.557
factory,7,3.206,1.86,4.412,1.437
fade,4,3.364,1.573,3.879,1.148
faded,5,3.75,1.696,3.788,1.32
faeces,6,3.029,2.42,2.429,1.226
fail,4,4.581,2.486,2.094,0.947
failure,7,3.971,2.728,1.722,1.239
faint,5,4.159,1.819,3.191,1.233
faint (colllapse),5,4.882,1.982,2.941,1.027
faint (weak),5,3.765,2.101,3,1.309
fair,4,4.406,2.075,7.118,1.641
fair (exhibition),4,5.324,1.996,6.086,1.025
fair (honest),4,4.606,1.906,7.735,1.171
fair (light),4,4.2,2.175,6,1.042
fair (weather),4,4.324,1.905,6.324,1.344
fairy,5,5.561,2.297,6.712,1.203
faith,5,4.406,2.668,6.636,2.158
faithful,8,5.543,2.221,7.8,1.369
fake,4,3.375,2.176,2.094,1.465
falcon,6,4.515,2.285,5.588,1.536
fall,4,4.118,2.083,3.177,1.271
fall (drop),4,3.765,2.059,3.667,1.064
fall (season),4,4.125,1.965,6.063,1.391
fallacy,7,4.333,2.055,3.571,1.321
FALSE,5,4.636,2.129,2.941,1.282
falter,6,4.467,1.565,3.387,1.068
fame,4,5.844,1.938,6,2
family,6,4.839,2.096,7.375,1.474
famous,6,6.303,1.547,5.879,1.719
fanciful,8,5.516,1.682,6.125,1.341
fans,4,5.086,2.075,6.206,1.568
fans (air),4,3.727,1.523,5.515,0.957
fans (sports),4,4.697,2.263,5.4,1.87
fantastic,9,7.03,1.337,8.257,0.936
fantasy,7,7.324,1.567,7.143,1.376
fare,4,3.912,1.616,4.559,0.976
fare (charge),4,3.25,1.984,3.75,1.25
fare (food),4,4.423,1.905,5.807,1.09
farewell,8,3.647,1.923,3.909,1.443
farm,4,3.875,1.916,5.968,0.897
farmer,6,3.161,1.608,5.6,1.2
fart,4,4,2.564,3.528,1.893
fascinating,11,6.938,2.277,7.844,0.905
fashion,7,6.324,2.124,6.677,1.277
fast,4,6.4,2.073,6.8,1.47
fast (quick),4,6.091,2.109,6.273,1.355
fast (starve),4,3.571,2.142,3.121,1.737
fat,3,4.029,2.149,2.5,1.44
fatal,5,5.629,2.609,1.353,0.636
fate,4,5.5,2.392,5.324,1.843
father,6,4.667,2.331,6.657,2.056
father (dad),6,4.515,2.664,6.909,1.865
father (priest),6,2.882,1.859,4.743,1.662
fatigue,7,2.781,1.576,2.656,1.24
fault,5,3.588,2.102,2.853,1.004
favour,6,4.688,2.068,6.849,1.048
fear,4,5.171,2.656,2.559,1.701
fearful,7,6.323,1.873,2.364,1.322
feat,4,4.267,2.128,5.714,1.509
feature,7,4.057,1.739,5.686,1.326
feeble,6,3.4,1.855,2.8,1.108
feet,4,3.206,1.969,4.803,1.351
feet (body),4,3.469,2.136,5.182,1.242
feet (length),4,3.471,1.46,5.177,0.452
feline,6,5.286,2.078,6.375,1.218
fence,5,3.742,1.502,4.719,1.125
ferret,6,4.469,2.345,4.969,1.237
ferry,5,4.212,1.871,5.424,1.074
festival,8,7.206,1.53,7.429,1.226
festive,7,6.906,1.627,7.514,1.442
feudal,6,4.8,2.344,2.857,1.432
feudalism,9,4.333,2.249,3.28,1.312
fever,5,5.344,2.688,2.576,1.256
few,3,2.714,1.578,4.5,0.849
fiber,5,3.387,1.679,5.613,1.037
fibre,5,3.529,2.09,5.152,1.351
fiction,7,4.647,2.14,5.697,1.381
fictitious,10,5,2.11,4.367,1.303
fiddle,6,5.088,1.9,5.314,1.347
fiddle (adjust),6,4.656,1.914,4.781,1.082
fiddle (violin),6,4.818,2.007,5.794,1.051
fiddler,7,5.177,1.947,5.206,1.207
field,5,3.697,1.899,5.375,0.781
fierce,6,6.091,2.05,4.229,1.943
fight,5,6.625,1.816,2.781,1.111
fighter,7,6.212,1.919,4.206,2.055
fighting,8,5.6,2.194,2.657,1.393
figment,7,4.065,2.395,5.065,1.243
figure,6,4.455,2.176,5.441,1.168
figure (body shape),6,5.677,2.285,5.606,1.536
figure (graph),6,2.677,1.843,4.714,1.343
figure (number),6,3.226,1.64,4.807,1.029
figure (reckon),6,3.455,1.971,5.091,1.311
file,4,3.031,1.776,5.212,0.913
file (record),4,3.063,1.731,4.794,0.932
file (tool),4,2.871,1.641,5,0.739
fill,4,3.8,1.833,5.857,0.99
filling,7,3.875,1.691,5.469,1.803
film,4,6.061,1.984,6.471,1.5
filter,6,3.061,1.74,4.97,1.267
filth,5,5.353,2.484,2.471,1.169
filthy,6,5.088,2.43,2.714,1.232
finance,7,4.059,2.182,4.636,1.453
financial,9,4.118,2.193,5.114,1.368
finger,6,4.939,1.999,5.2,0.855
fingers,7,3.914,2.005,5.206,0.53
finish,6,6.086,2.143,6.657,1.53
fire,4,7.548,1.316,3.849,1.877
fire (employment),4,5.714,2.172,2.257,1.794
fire (flames),4,6.571,2.115,4.029,1.992
fire (gun),4,5.353,2.507,3.063,1.478
fireman,7,5.844,2.476,6.765,1.456
fireplace,9,4.353,2.235,6.4,1.418
fireworks,9,7.313,1.685,7.273,1.286
firm,4,4.606,1.476,5.455,1.281
first,5,5.515,2.245,6.829,1.828
fish,4,3.727,1.989,5.375,0.82
fisherman,9,3.471,1.989,5.543,0.805
fist,4,5.333,2.318,3.394,1.071
fit,3,5.943,1.956,7.177,1.294
fit (convulsion),3,4.758,2.475,2.485,1.69
fit (healthy),3,6.97,1.642,8.235,0.769
fit (suitable),3,4.625,1.949,6.125,1.218
fizzy,5,5.767,1.995,5.242,1.67
flab,4,3,2.111,3.114,1.526
flabby,6,3.344,2.071,2.813,1.31
flap,4,3.581,1.661,4.629,1.514
flask,5,4.103,1.539,5.345,0.658
flatulence,10,3.733,2.112,3.094,1.259
flatulent,9,3.581,2.167,3.156,1.46
flea,4,2.656,1.761,3.469,1.369
flee,4,4.969,2.008,3.333,1.295
fleet,5,3.824,2.431,4.714,1.002
flesh,5,5.818,2.48,4.818,1.466
flick,5,4.758,2.016,4.697,1.425
flick (movement),5,6,1.328,5,0.939
flick (movie),5,5.121,2.226,6.5,1.334
flicker,7,4.765,1.941,5.265,0.98
flight,6,5.886,2.067,5.943,1.308
flint,5,3.345,1.728,4.936,0.504
flirt,5,7.571,1.555,6.853,1.286
flirty,6,7.2,1.527,6.657,1.511
float,5,4,1.907,6.125,1.023
flood,5,5.457,2.116,2.829,1.276
florist,7,4.5,2.159,6.515,1.048
flour,5,3.156,1.822,5.194,0.644
flourish,8,6.5,1.944,7.543,1.203
flow,4,4.057,2.042,5.75,1.211
flower,6,5.273,2.15,7.688,1.014
fluent,6,5.794,2.259,7.147,1.286
fluid,5,4.5,1.944,5.177,0.954
flute,5,4.636,1.872,5.871,1.157
flutter,7,5.563,2.076,6.088,1.245
fly,3,5.406,2.177,5.406,2.177
fly (insect),3,2.971,1.948,4.091,1.311
fly (through air),3,6.594,1.918,6.677,1.49
foam,4,4.839,1.706,5.333,0.869
fodder,6,3.536,1.955,4.571,1.05
foggy,5,3.813,1.758,4.094,1.234
foible,6,5.067,2.235,4.467,1.024
foil,4,3.471,1.736,4.727,0.897
foil (metal),4,3.371,2.139,5.03,0.627
foil (prevent),4,4.424,2.216,3.794,2.011
fold,4,3.323,1.767,4.875,1.218
folder,6,2.939,1.65,5.229,0.721
folk,4,4,1.954,5.794,1.132
follow,6,3.906,1.826,4.879,1.094
folly,5,4.138,1.717,4.357,0.972
fond,4,5.114,2.214,6.8,1.064
food,4,6.735,1.771,7.606,1.229
fool,4,4.594,2.09,3,1.188
foolish,7,5,2.146,2.636,1.202
foot,4,3.758,1.793,5.03,1.141
foot (body),4,2.765,1.436,5.324,1.021
foot (length),4,3.486,2.089,4.939,0.736
football,8,3.807,2.415,4.833,1.951
forage,6,4.655,1.625,5.5,1.21
force,5,5.457,2.247,3.912,1.738
forceful,8,5.912,2.049,2.886,1.115
ford,4,3.281,1.586,5.031,0.684
forehead,8,3.382,1.609,5.257,0.648
foreign,7,5.091,2.165,5.424,1.016
foreigner,9,4.697,1.93,5.188,1.57
forest,6,5.188,2.083,6.452,1.411
forge,5,4.781,1.996,4.969,1.447
forget,6,3.429,1.961,3.529,0.776
forgetful,9,3.229,1.868,3.559,1.063
fork,4,3.53,1.964,5.212,0.962
fork (cutlery),4,3.177,1.855,5.441,1.439
fork (road),4,3.909,2.08,4.875,0.927
form,4,3.529,1.538,5.177,1.124
formation,9,4.2,1.759,5.625,1.083
former,6,3.125,1.556,4.438,0.998
fort,4,5.029,1.992,5.714,1.364
fortress,8,5.281,1.875,5.394,1.413
fortuitous,10,5.583,2.178,6.783,1.214
fortunate,9,5,2.06,7.765,0.972
fortune,7,6.714,2.036,7.657,1.145
forty,5,3.677,1.874,4.788,0.946
forum,5,3.059,1.662,5.303,1.114
fought,6,5.514,2.335,3.206,1.51
foul,4,4.094,1.721,2.758,1.349
foul (disgusting),4,3.771,2.726,1.571,0.935
foul (penalty),4,3.625,2.19,2.774,1.007
fountain,8,5.177,1.636,6.2,1.166
fowl,4,3.75,2.092,4.088,1.38
fox,3,3.968,1.992,5.029,1.295
foxes,5,5,2.098,5.375,1.556
foxy,4,6.516,1.757,6.406,1.455
fragrance,9,5.571,2.074,6.794,1.231
fragrant,8,5.576,2.243,7.061,1.347
frail,5,3.061,1.516,2.706,1.125
frame,5,3.5,2.018,5.118,0.676
franchise,9,3.941,2.196,5.147,1.191
frank,5,3.516,1.899,5.152,1.351
frantic,7,5.771,2.139,3.529,1.398
fraud,5,5.152,2.047,2.257,0.966
freak,5,5.933,2.097,3.03,1.714
freaky,6,5.879,1.701,3.656,1.651
freckle,7,4.618,1.925,5.618,1.058
free,4,6.886,2.011,8.029,1.276
freed,5,6.156,2.476,7.818,1.029
freedom,7,7.2,1.704,8.559,0.65
freeze,6,3.939,2.269,3.818,1.507
fresh,5,6.235,1.61,6.909,1.464
friction,8,5.143,2.295,3.829,1.276
fridge,6,3.771,2.343,5.629,1.436
friend,6,6.788,1.701,8.242,1.102
friendly,8,6.677,1.408,8.088,0.951
friendship,10,7.088,1.358,8.486,0.692
fright,6,6.563,1.886,2.938,1.144
