sentence,Valence,Arousal
I know.  I'm excited.,5.0,4.5
I know.  I've been in line with these people.  I understand.  I understand what it's like.  Could you please like call over and-,2.0,3.5
I know.  I've been waiting forever.  I can't believe it's finally happening.,4.5,4.0
"I know.  It doesn't bring him back, but--",1.6667,2.0
"I know.  It kind of went out of style, didn't it?",4.0,1.6667
"I know.  It makes it harder.  I mean it's definitely who you know in a lot of cases, but--",2.0,2.5
I know.  It never is.,2.0,2.5
I know.  It sort of went out of style didn't it?,4.0,3.0
"I know.  It went out of style, didn't it?",3.5,2.5
I know.  It's a great school and you know,4.0,4.0
I know.  It's going out of style isn't it?,4.0,3.5
"I know.  It's going out of style, isn't it?",4.0,3.5
I know.  It's just you don't have to do this for a living you know.,2.0,3.5
I know.  It- It's really tough out there.  It's really hard to find a job.,2.5,2.5
I know.  Just you help me stay here.,1.75,3.5
I know.  Oh my God.  Oh my God Joe I am so happy for you.  Well you know what that means?,4.0,4.0
"I know.  Okay.  Well, um. Maybe--",3.0,3.5
I know.  Right down the street.,4.5,4.0
I know.  We should have a party.,4.5,3.5
I know.  We want to work with you.  We will give you the fifty dollars but I'm--,3.0,2.5
"I know.  Well, we'll have to figure all that out.  I mean, I think the Army's going to provide childcare and help us out with that. um.",2.0,2.5
I know.  You threw him out the window into the canal.  I don't think I'll ever forgive you for that.,4.5,4.0
I know.  You're going to be so close.,4.5,3.5
"I know. All right, all right. All right. Okay.  Calm yourself. What does that mean, me above all?",1.5,4.0
"I know. For softball, yeah.",4.5,3.5
"I know. He was, he had so much going for him.",2.5,2.5
I know. I can't believe it.,4.5,3.0
I know. I have to go-,2.0,2.3333
"I know. I know.  I think you go and you like stay for a couple of days and you meet people and--And they'll give you like a tour--And show you everything.  Oh, man, I'm just so--I'm so excited.",4.5,4.0
I know. I know.  I'm so excited.,5.0,3.0
I know. I know. So fun.  I can't wait.,4.5,4.5
"I know. I made such a mess of it, the entire time.  The last three things I've done, I've ruined everything, I think. Mm-hmm.  Yeah.",4.5,3.5
I know. I understand it's personal-- It's personal to you. I get that.,3.0,3.0
I know. I'm so-,5.0,4.5
I know. It's so cool.,4.5,4.5
I know. Oh man. Couldn't believe it.,4.0,3.0
I know. So we're gonna take it--Like we're not gonna get married right away--'Cause we want to like have plenty of time to plan everything out,4.5,3.25
I know. We should throw a party.,5.0,4.5
I know. What do you think I should-,4.0,3.0
I know. [LAUGHTER],4.5,4.5
"I know. [LAUGHTER]. Dude, I don't know. It's- Probably. It's huge. I don't even know how to like wear it. My hand is like going down like really low. I can't believe it.",4.5,4.5
I know. but you're not  I mean you're not going to forget him.  The pain will go away eventually and--or it will subside--,2.6667,2.0
"I kwon, it is ridiculous",3.5,2.5
I like blue.,4.0,3.0
I like to think so.,3.0,3.0
I lost them.,2.0,3.0
I love you a great deal.,4.25,2.75
I love you too.,4.0,2.0
I love you.,3.0,3.0
"I love you.  I'm going to miss you so much. ""sigh""",1.5,3.5
I love you.  Okay?,3.3333,2.6667
"I love you. Annie, I love you.",4.6667,3.6667
I loved him so much.,1.5,1.5
I loved that boy.,4.0,2.5
"I make an exception for you and I have to make an exception for everyone.  I mean, I-I've seen this before and I know it's frustrating, but there's nothing I can do. You just have to-",2.5,3.5
I make myself very presentable before I go to any kind of interview.,2.0,3.5
"I mean -- I've been away for a while and- and now I've- I've gifts for- for you know friends and family I mean, I got stuff in the there",2.5,4.0
"I mean I can do the McDonald's thing for a while as humiliating as that is, but I mean then what?  I mean You can't exactly move up in that kind of industry.",1.5,3.0
I mean I don't know just go out and keep trying. Just-,3.0,2.5
I mean I feel like my whole life is going to be spent standing on the beach waiting for the fish to show up with my eyes open and my hands clasped expectantly and the fish won't show up.,1.5,4.0
I mean I haven't even talked to him on the phone for the past three months.,2.5,3.0
I mean I still have my card.,2.3333,3.0
I mean I'm gonna take a bunch of stuff and see.,4.0,3.0
I mean I'm the one who has to leave here.  I'm the one who has to leave the two of you.  At least you get to be together.,1.5,3.0
"I mean I've been looking for a job for like three years and I can't get a job.  I mean like, it's America, right?  I should be able to get a job.",1.5,3.5
"I mean I've been sending out my resumes and doing everything I can do but nothing is happening.  You know, it's like I can't and I can't keep living on loans anymore like this.  I'm going to--I mean eventually I'm going to have to pay it back. I'm just kind of freaking out, I don't know.",2.0,4.0
I mean There's pretty much doughnut shops everywhere in LA.,3.5,3.0
I mean are you going in for interviews?,3.0,3.5
"I mean at least she was home, she wasn't in the hospital anymore,",1.5,2.0
"I mean because you went to the campus before, right?",4.0,3.0
"I mean can't they put you in like, you know kitchen work or something where you won't get",3.0,3.0
"I mean he was...he wanted to help people in poor countries, that is his goal.  He didn't care about the money.  He just wanted to go and help people.",2.5,3.0
I mean if I had known--I would have brought it.,2.0,3.5
"I mean it is just this , I mean it includes a lot and everything and you know it's the sand and it's the full moon and I just-I am sorry but I couldn't help wishing I was somewhere else.",1.5,3.0
"I mean it just says that you need some form of identification, but it doesn't say what kind of identification.",2.0,3.5
I mean it's -- this is just this. I mean it includes a lot and everything but isn't something else. Do you have any idea what I'm trying to say?,1.5,3.5
I mean it's not like this is an,1.5,4.5
"I mean it's not really free because you have to pay for it, but yeah.",3.5,3.0
I mean look at the view of the moon we got from here.,3.6667,2.6667
I mean look at the view you've got of the moon from here.,2.5,2.5
I mean look she's -she's perfectly nice.  She doesn't mind waiting for a couple of minutes because I've been here all day. I have a job to get back to.  I have kids to pick up from school.  I can't just stay here.,1.5,4.0
I mean not to denigrate what you are doing.  I think that's great.,4.0,3.5
I mean that exactly that-a little more selfish and they would have still been here today.,2.5,4.0
"I mean that exactly, anymore selfish -- just a little bit more selfish and they would have been here today. And it gave me an idea as I was watching them all go down.",2.0,4.0
"I mean this is a lot of things, but it's just...",2.5,3.0
"I mean we both knew that this was going to happen.  It's just that I feel that, you know, I don't want Susie growing up without a mother.",2.0,2.5
I mean we can't-we're not a complete family without you here.,1.5,2.0
I mean we've gone through all of this.  I've been to five people already who--,2.0,4.0
"I mean what the hell have we worked for then?  I mean, it's all for you Chris.  The whole shooting match is for you.",1.5,4.0
I mean you can take those things out of war but,2.5,3.0
I mean you got to - you got to show me the ropes 'cause I've never been there before so I mean you know your way around already and- [LAUGHTER],3.5,4.0
"I mean you keep saying ,my flashlight, as if it's somehow just yours.  How's that suppose to make me feel?",2.0,2.0
I mean you're not helping me here. What do I have to do here? Do I need to sue the airline company is that what I should do,2.0,4.0
"I mean,  Why did you wait all these years?  There I was sitting around and wondering if I was crazy for thinking about you.",4.0,4.5
"I mean, I I have I have some duty to the man I was going to marry if nobody else came up.",4.0,3.0
"I mean, I can't see how you can not be interested.",2.5,2.5
"I mean, I can't- I can't be persistent forever, you know, you can't not have a job forever, you know, I've got- I've got to do something, I've got to make money and get food on the table.",2.0,3.0
"I mean, I could go to law school, but I'm just not passionate about it, you know? Like I'm not--it doesn't drive me, it doesn't motivate me. I--",2.5,4.0
"I mean, I don't know, I don't see - I don't see any other way - any other way around it right now.",2.0,2.3333
"I mean, I don't want to -- I don't want to leave.  I want to stay here with you.",2.5,3.0
"I mean, I feel like my whole life is gonna be spent standing on the beach with my eyes wide open and my hands clasped expectantly waiting for the fish to show up.  And the fish won't show up.",1.5,5.0
"I mean, I just don't--I don't know.  If you don't have a lot of qualification, where do you - where do you find work?  It's like L.A. is so frustrating because if you don't know somebody, you can't -you can't get a job.  It's impossible.  It's totally discriminatory.  You have to know somebody.",1.5,3.5
"I mean, I'm not saying that you should, you know--",3.3333,2.6667
"I mean, I'm surprised he didn't, ya know--go get a plane to fly over and shine--But candles on the beach, that's okay too I guess--",4.25,3.75
"I mean, I-I know that you're a good soldier, but not everybody else is. and what if",1.3333,3.0
"I mean, Think about people in Kansas, they've got to get like you know plane tickets and hotel reservations just to see this.  We're just forty minutes away.  It's just too good of an opportunity to pass up.",2.5,4.0
"I mean, You can tell me what.  Why is no one hiring me?  Is it me?  Be honest.  You can tell me. you know I can take it.  I can take it, you just tell me. Why?",2.5,4.0
"I mean, and your money, there's nothing wrong with your money.  I mean, your father put hundreds of planes in the air.  A man should be paid for that.",3.0,4.0
"I mean, and your money, there's- there's nothing wrong with your money.  I mean, your father put hundreds of planes in the air.  A man should be paid for that.",2.5,4.0
"I mean, anything.",3.0,2.0
"I mean, as- as cliche as it is, as long as people who loved him remember him, then it's not a waste, you know.",3.5,2.5
"I mean, don't you want to see it?",2.25,3.25
"I mean, he was like really conscious right up until the end. you know",2.0,2.6667
"I mean, her faith is stronger than a rock.",2.5,3.0
"I mean, is there somebody you can call?  Or the guy that put the stuff on the--on the plane.  I mean, are they--they must be really irresponsible to have just disappeared my baggage.  I mean, did it get stolen?",1.5,3.5
"I mean, it was, it's bound to come out sooner or later.",2.0,3.5
"I mean, it's just as hard for me, but--I know that we can do it, you know",1.5,2.0
"I mean, it's just not fair.  Like, I don't know.  Why people -",2.0,2.0
"I mean, it's just, it's really--I don't know, yeah, it's about their opinions and it's about, I don't know, just getting yourself out there and--",2.0,4.0
"I mean, it's not big or anything like that.  I mean, it's not worth a lot of money or anything.",3.0,3.6667
"I mean, like, I don't know.  I'm just saying if you need to make some extra cash.  You can, you know",3.0,3.5
"I mean, maybe I'm not, you know. I don't have a job. Maybe - maybe I'm not as good as-as I thought I was and",3.0,3.0
"I mean, nobody knows we're here except for Freda and she wouldn't ring up.",2.0,3.0
"I mean, on six seven and five an hour does not - does not pay the bills I mean.",1.5,3.5
"I mean, one second you think, you know, you're just having a conversation and then --",1.5,3.0
"I mean, our airline's fault.  I don't know what happened, misplaced, something happened but we will get you--",2.5,3.5
"I mean, some information here would be great.  Some help.  Can you, like, type something in and find out?",2.0,4.0
"I mean, technically, that's policy.  But, like, I mean, I don't really care about -- nobody really cares about policy here.",3.0,3.5
"I mean, that's the reason why I asked you here.",4.0,3.0
"I mean, that's-that's only a little thing, but that's the kind of guys I had. They didn't just die. They killed themselves for each other. And I mean that exactly. A little more selfish and they'd still be here today.",2.0,3.5
"I mean, the whole thing was like some kind of bus accident to them.",2.0,3.5
"I mean, there's nothing wrong in that money, and your father put good planes up in the air and you should be proud of that. A man should be paid for that.",2.0,4.0
"I mean, there's really nothing I can do for you in this line.  This is not the line for new I.D.  This is the line for registration.",2.5,3.0
"I mean, these kinds of things, man they always come back at you.  And this is definitely coming back to us.",2.3333,3.0
"I mean, they're, you know, they're upset.  It's like you know, they",2.0,2.5
"I mean, think about this, I know you're not interested but just think about this for a minute.",3.0,4.0
"I mean, this is a big night for these guys.  You know, life's last orgy.",5.0,4.5
"I mean, this is just this.  It includes a lot and everything, but it isn't something else.  Do you have any idea what I'm trying to say?",1.5,3.5
"I mean, this is the big night for these guys. Life's last orgy.",3.0,3.0
"I mean, this is, this is everything, and it's a lot, but",2.6667,3.0
"I mean, we can be grateful for that.",2.5,2.5
"I mean, well I mean i don't know; it doesn't really affect my life, you know.",2.5,2.5
"I mean, what do you want to do?  Do you want to- do you want to talk about it?  Do you-",2.0,3.0
"I mean, what's gonna happen to your father?  Do you know?  I don't.",2.0,3.5
"I mean, you can take those things out of a war, but when you drive that car, you've gotta know that it came out of the love a man can have for a man.  You've gotta be a little better because of it.",3.0,3.0
"I mean, you can take those things out of a war, but when you drive that car, you've gotta realize that it came out of the love a man can have for a man.  You've gotta be a little better because of it.",2.5,3.5
"I mean, you have to be really aggressive about it.",3.0,2.6667
"I mean, you haven't seen her since the war. I mean, it's been five years.",2.0,3.6667
"I mean, you just get to--go off and do your thing.  I mean, yeah, we're both--I don't know--it's bad for both of us, but--",2.5,2.5
"I mean, you kept saying my flashlight, the flashlight like it was only somehow yours.  How is that supposed to make me feel?",2.5,2.0
"I mean, you know, at least he's not in anymore pain now, right?",2.3333,2.3333
"I mean, you know, you're going to have at least, like, two hundred and fifty people come.  So we're going to need, you know, just a huge buffet.",4.0,3.0
"I mean, you were-  you were fine during the phone call from Marge.  Dinner was okay.  Doing the dishes was no problem.  Let's see.  I took a shower.  You watched the news.",2.5,4.0
"I mean, you- you can go.  I don't know.  I don't know what else.",2.0,2.0
I mean--I don't know.,2.6667,1.6667
"I mean...You can't take those things out of a war. when you drive that car and you see that new refrigerator, you have to know that it came out of the love that a man can have for another man.",2.3333,3.6667
I must see it before I just take it.,3.0,4.0
I need California ID.,2.5,3.5
I need a little more information.,3.0,2.5
I need my bag.,2.5,2.5
"I need my stuff.  It's--I need my stuff.  I mean, uh...",1.5,4.0
I need to get like a -- just a small little gun just 'cause -- or like a taser or something or just like a butterfly knife,3.0,3.5
I need you here.  Anna needs you.,1.5,3.5
I need you to believe that too.  How am I supposed to believe everything's going to be okay if you don't?,1.5,2.5
I need you to believe with me; I can't stand all alone.,1.6667,3.6667
I need you to help me out here.  Can you get on the phone and get the luggage over on the fastest flight you can and then maybe I won't get you fired.,2.0,2.0
"I need you to tell me because I really need to get the bag, okay?",2.0,4.0
"I never told him, I love you, but-",2.0,2.0
"I no I can't- ""sigh""",1.5,3.5
I noticed that. It's beautiful.,3.3333,2.0
I probably have to go wait another line to get my birth certificate don't I?,2.0,3.5
I put in fifteen years in this job.,2.0,2.5
I put them in my pocket. that's only a little thing but these are the kind of guys I had.,3.0,3.0
"I put- I've been typing my number in millions of times, it won't listen to me, it's not working, and I can't get a single human being, and finally-",2.5,4.0
I rather not remember some things.  I rather not hope for some things.,2.0,2.5
I really - I really need that bag.,2.5,3.5
"I really appreciate this. I know it's not policy or whatever but, seriously",3.5,3.0
"I really don't want to go, I don't want to go...",1.5,2.5
"I really need this done today.  As you can see, the deadline is almost up and I can't come back.",1.5,3.5
"I really want to say that. Well I, so, you know, at the center department they called me in and I talked to-",3.0,2.0
I remember it well bristling with diamonds in the worst possible taste.,2.5,3.0
"I remember it well, bristling with diamonds in the worst possible taste.",2.5,3.0
"I remember it well, covered in diamonds and the worst possible taste.",2.0,4.0
"I remember it well, covered in diamonds in the worst possible taste.",2.0,3.5
I remember it well. Bristling with diamonds. In the worst possible taste.,2.5,2.5
"I remember, too, when we were--  she died at U.C.L.A.  She had brain surgery and there was not much hope to begin with, but I gave blood for her surgery, her mom and I before, so we dropped her off in the waiting room and then we were giving blood and came back.  And she, in her wheelchair, like can hardly do anything, reciting her poetry for these people like in the waiting room.  All she needs is a God damn audience.  You know?",3.0,3.5
I see it.  It has the appearance of it.,2.0,4.0
I shall never forget his face.,3.75,3.5
I shall probably do a Court Curtsey.,4.0,3.0
"I should hope so.  You know, I need that today.",2.0,4.0
I should never forget his face. [LAUGHTER],4.5,4.5
I speak your language.,2.5,2.5
I still can't live on in six seven and five.  It's not possible in Los Angeles.  Housing is too expensive.,1.5,4.0
I suppose you let him just kiss you or good deal more than too.,2.0,4.0
"I suppose you let him kiss you a good deal more then, hmm?",2.0,2.5
I suppose you let him kiss you a good deal more then.,2.25,3.25
I suppose you let him kiss you a great deal more then?,2.5,2.5
"I suppose you two had a riotous time, huh?  No restrain at all, very enjoyable, he never had much any how.",1.5,3.5
I think I am not in the least bit drunk.,2.0,4.0
I think I mentioned once before that I had only three-minute liqueur glasses of brandy the entire evening long.  A child of two could not be drunk on that.,2.0,4.5
I think I mentioned once before that I had three minute liquor glasses of brandy the whole evening long.  A child of two couldn't get drunk on that.,2.5,3.0
I think I mentioned once before that I've had three minute liquor glasses the whole evening long.  A child of two cannot get drunk on that.,2.0,4.5
I think I mentioned once before that I've only had three minute liquor glasses of brandy this whole evening.  That's hardly enough to get a child of two drunk.,2.5,3.5
I think I shall do a curtsy.,4.0,3.0
I think I told you once before that I had three minute liquor glasses the whole evening long.  A Child of two cannot get drunk on that.,1.0,4.5
I think I'll have a little.,3.0,3.5
I think I'll have some.,3.5,2.5
"I think I'll live on campus the first year cause you  meet more people that way, right?",3.5,3.5
"I think again, that I'm-I'm right.",2.5,3.0
I think infantry.  I'm not sure.,1.5,2.5
I think it's a good idea to live together before you get married.,4.0,3.0
I think it's ridiculous.,2.5,2.75
I think maybe you can't get employed because you aren't willing to take responsibility for your own actions.,3.3333,2.6667
"I think so, too.  Are you going to get a house or-",3.5,3.0
I think that,3.0,2.5
I think that'd be really fun actually.,4.5,4.0
"I think that's kind of stupid, that you put a hundred thousands of dollars in the bag.",4.0,2.5
I think this may be the place for us after all.,4.0,2.0
I think we're going to -- we're going to -- we want to do it in Hawaii and just fly everybody in.,3.5,3.0
I think you are talking nonsense.,4.0,2.5
I think you should have some more brandy...,2.5,3.0
I think you're being a little condescending.,2.5,3.5
"I think you're just gonna--you're gonna have to get 'em and then you can back and then, we'll help you out.  Maybe, we can-",2.5,2.5
I think you're talking nonsense.,4.0,3.5
"I think, um, maybe you can file a claim if you want and turn it in to our main office--",2.5,3.0
"I thought I was pregnant, you had a bottle of champagne, but no glasses.  You asked me to dance, so we kicked off our shoes and you popped the cork.",4.0,4.0
I thought I was pretty clear about what the problem was.,1.5,4.0
"I thought I would change everything you know, and I got back here and it was- it was like nothing had changed at all...",1.5,2.5
I thought you lost your luggage.,2.5,2.0
I thought you said this wasn't going to happen for at least a year.,1.5,2.5
I thought you wanted to see it.,2.3611,2.8888833333333337
I thought you wanted to see them.,2.25,2.75
"I told myself finally, this is how happy I'm supposed to be.",3.6667,2.3333
I told them that but they--,1.5,2.0
I told you it was line two A.,2.0,3.5
"I understand that it's so frustrating but I know that you're here because you really want it you know and, and uh",3.3333,2.3333
I understand that ma'am.,2.5,2.0
"I understand that, ma'am but there's not really much I can do for you right now.",2.5,2.0
"I understand that, ma'am, but things get lost.  There's nothing I can do about that.  Things happen.  Accidents happen.",2.5,3.5
I understand that.  I would know if it was mine. Um-,3.0,2.0
"I understand that.  The best I can do for you, at this moment, is give you fifty dollar check courtesy of Northwest Airlines for inconveniencing you in losing your luggage.",2.5,1.5
"I understand that. Um- So I'm going to put down here that you looking for your baggage, but we actually can't, uh this bag is likely not going to show up so what we're going to do-",2.0,3.0
"I understand you're frustrated, but--",3.5,2.0
"I understand, baby.  I'm sorry. I mean try to understand I'm I'm scared myself.",2.0,3.0
"I understand, but you know what, you've been negative for three years.",2.0,3.5
"I understand, sir.  I will explain to them what the situa-",3.0,3.0
"I understand, so-",3.0,2.5
I understand--we're not-,3.0,2.5
I understand.,2.5,2.5
I understand.  I'm worried about you.  I don't know what's going to happen to you.,1.5,3.0
"I used to go to cemeteries a lot before she died.  I just, you know, I felt like they were urban oasis, you know, there is always this green in the city.",3.5,3.0
I waited in line now I'm ready to get my stuff and then go home.,2.5,4.0
I waited the entire baggage- I waited for the whole baggage carousel four times.  They told me to go to the next one.  I waited through that for three planes and now I'm here.,2.0,3.5
I want a camera phone actually.,2.0,4.0
"I want a family.  I want kids.  I want something that I can give myself to.  Annie's in the middle of that.  Now, where do I find it?",2.0,3.5
I want a family.  I want some kids.  I want to build something I can give myself to.  Annie's in the middle of that.  Now where do I find it?,1.5,3.0
I want a family; I want kids; I want something I can give myself to. Annie is in the middle of that. Now where do I find it?,2.0,4.0
"I want some kids, I want a family, I want somebody that I can give myself to and Annie is in the center of that.  Now it's just where to find it.",2.6667,3.6667
I want something to turn out the way it is suppose to turn out.,1.5,3.5
I want something to turn out the way it's supposed to.,1.25,3.75
I want something to turn out the way that it supposed to.,1.5,3.5
I want something to turn out the way that it's supposed to.,1.5,4.0
I want the best freaking camera phone there is though.  I want the really good kind--,2.0,3.5
I want things to turn out the way that they're supposed to be.,1.83335,3.6666499999999997
I want to ask her to marry me.,3.5,2.5833500000000003
"I want to definitely give you our special package today, which um is usually only for valued customers who have a record of having previous,",4.0,3.0
I want to get this settled first.,2.5,2.5
"I want to make some money.  I need to make some money.  I've got to pay some bills, I owe people money.  I owe lots of people money.  I need to make some money.",2.0,4.0
I want to talk to a supervisor,2.0,3.5
I want to talk to your supervisor.,2.0,4.0
I want to--what am I going to do if I leave this job?,2.0,3.0
I want you now Annie.,3.0,2.6666666666666665
"I want you now, Annie.",3.25,2.75
"I want you to act like he's coming back, both of you.  Don't think I haven't noticed you since he invited her here.  I won't stand for any nonsense.",2.0,3.6667
"I want you to act like he's coming back, both of you.  Don't think I haven't noticed you since he invited her.  I won't stand for any nonsense.",2.0,4.5
"I want you to act like he's coming back, both of you. Don't you think I haven't noticed since he invited her, I won't stand for any nonsense",1.6667,4.0
I want you to act like he's coming back.  Both of you.  Don't you think I haven't noticed since she got here.  I won't stand for any nonsense.,1.6667,4.0
I want you to be okay with it as much as you can be.  I mean it's not a great situation but we don't have an option here.,1.5,3.5
I want you to know Annie.,2.0,1.5
I want you to leave.  I want you to leave the service.,2.5,2.0
I want you to pretend like he's coming back!,1.5,4.0
"I want you to pretend like he's coming back.  Both of you, don't think I haven't noticed you and Chris since she's gotten here.  I don't want any nonsense.",2.0,4.0
"I want you to, you know, take lots of video; pictures and I can see you when I get back or while I'm there. I'm going to miss you.",4.0,3.0
"I want you to-- I want you to act like he is coming back, both of you.  Don't think I haven't noticed you since Chris invited her here.",1.5,3.5
"I want you to---act like he is coming back.  Don't think I haven't noticed you, both of you since Chris invited her here.  I won't stand for any nonsense.",2.0,4.5
I want- I want a family.  I want some kids.  I want to build something I give myself to.  Annie is in the middle of that.  Now where do I find it?,2.0,3.0
I want-I want you to act like he's still alive.  I mean don't think I haven't seen the way that you've been since he invited her here.,1.0,4.0
I wanted to get this settled first.,2.6041625,2.375
I wanted to get this taken care of first.,2.0,3.0
I was almost married two years ago.,3.0,3.5
"I was coming from um the Midwest, like Iowa.",3.0,3.0
"I was just going to say that's your issue. Maybe you are going in too much. No, I mean, just",3.0,3.0
I was just joking.  Gosh.  You don't have to take everything so- so seriously.,2.5,3.5
I was just joking...,2.0,1.5
I was just like you.  I thought it was going to be all peaches and roses and everything great and the sand in our toes and the wind in our hair and the fish will always come and the bills will pay themselves and we'd have three big fat rosy kids...,2.0,3.3333
"I was just--it was so like I thought this might happen eventually, but like not yet, you know what I mean?  Like--",4.5,4.0
"I was kind of planning on sneaking up on you, you know over like a course of a week or so. They just take for granted that we're already set.",4.0,2.5
I was out here at four this morning I heard a crack and I looked out the window and he was standing right over there.,2.3333,2.3333
I was struck.,5.0,4.5
I was supposed to see him last summer,2.5,2.0
"I was waiting for you Chris, I mean, till then you never wrote and then when you did what did you say?",4.0,4.0
"I was waiting for you, Chris.  'Til then, you never wrote and when you did, what did you say?  You sure can be ambiguous, you know.",2.0,3.5
"I was waiting for you, Chris.  Till then you never wrote and then when you did what did you say.  I mean you sure can be ambiguous you know.",4.5,4.0
"I was waiting for you, Chris.  You sure can be ambiguous, you know.  And when you did finally write me,",4.3333,4.3333
I went to school and I got my degree.  And I got a job.,2.5,3.0
I went to see her headstone a week or two ago.,2.0,2.0
I will but I can't right now.,1.5,3.5
I will come back.,2.0,2.5
I will do no such thing.,2.8333333333333335,2.8333333333333335
I will do the best I can.,4.0,3.5
I will go ahead and I will take- I will take,3.5,3.5
I will never do business with Delta again.,2.0,2.5
I will never forget his face. Ooh-rah [LAUGHTER].,5.0,4.5
I will never forget the look on his face.,5.0,4.5
"I will never forgive you.  All I'd done was sit around wondering if I was crazy waiting so long, wondering if you were thinking about me.",4.3333,3.6667
I will never forgive you.  Why did you wait all these years?  All I did was sit and wonder if I was crazy for thinking of you.,4.5,5.0
I will not. Go away. Go away. I hate you.,1.5,3.5
"I will, I will.",3.0,3.0
I will. I will. Thank you.,4.0,4.5
I wish I could give it to you.,2.5,2.5
"I wish I had some answers for you, babe.  I mean-I don't know what to tell you.",2.0,3.0
I wish I-,2.5,3.0
I won't be able to hear his voice or his--,1.3333,3.3333
I won't stand for any nonsense.,1.5,3.5
I won't.,2.5,3.0
"I won't.  Let go, let go of me. Listen, listen?  I'm sick and tired of listening to you, you sadistic bully.",1.0,4.0
"I wonder do they always run during a full moon? I can't remember if it was full last year, do you remember?",4.0,2.5
I wonder if they can hear me talk,3.5,3.0
I wonder if they can hear me talk or feel the vibrations in the sand when we move around.,3.5,2.5
I wonder if they can hear me talk or like feel the vibrations in the sand when we move around.,4.0,2.5
"I wonder if they can hear me talking, you know.",4.0,3.5
I wonder if they can hear us talk. Or hear the vibrations in the sand when we move.,3.5,3.0
I wonder if they can hear us talk?  Or feel the vibrations in the sand when we move around?,4.0,3.0
"I wonder, do they always run during a full moon?  I can't remember if it was full last year.  Do you remember?",3.0,3.0
"I wonder, do they always run during a full moon? I can't remember if it was full last year.  Remember?",3.5,2.5
I wonder.,3.0,2.95
I work for IBM.,3.5,3.0
"I work in this fucking building all day. And I'm sick of it, okay?",1.0,4.5
"I work out of my home as a realtor and because I don't have a land line, I need a phone and because of now I don't have one I don't know what to do.  And you're not helping me at all.",2.0,5.0
"I worked really hard, I'll say, I worked really hard. You know, I I'm not bragging or anything like that. But-",4.0,2.5
"I would be like- Oh. Right, right, right.",4.5,4.0
"I would have liked to have gone a little further up the coast to get away from the lights and the people, but I was afraid we'd miss it.",3.0,3.5
I would have thought you would have told me that you were planning on doing this.,4.0,3.5
"I would have wanted to go a little further up the coast, get away from the lights and the people but I was afraid we'd miss it.",4.0,2.0
I would like to talk to your supervisor.  Obviously you're incompetent and don't understand what I'm asking.,1.5,3.0
I would miss you.,3.5,3.5
I would put that right up there with--ping-pong.,3.5,3.0
I would rather not remember some things.  I would rather not hope for some things.,2.0,2.5
I would rather not remember some things.  I'd rather not hope for something.,2.0,2.0
I would've loved to.,2.5,2.0
I wouldn't let you?   I was not in Atlanta. I was not in Atlanta.,2.5,3.5
"I wouldn't marry you again if you came back crawling to me on your hands and knees because you're vile. You're a mean, evil-minded little vampire and I hope to God I never set eyes on you again.",1.5,4.5
I wouldn't marry you again if you came to me on your bended knees. You're a evil minded little vampire. I hope to God I never see you again as long as I live.,1.5,4.5
I wouldn't marry you if you came in crawling on your knees,2.0,4.0
"I wouldn't miss this for anything. I mean, think about this. Okay, I know you're not interested, but just think about this for a minute.",3.5,4.0
I wouldn't-- I wouldn't marry--,2.0,4.0
"I'd be happy to give you a cup of coffee, too.",3.0,2.5
"I'd like to build something that's my own.  And Annie is in the center of that.  Now, where do I find it?",2.0,3.5
I'd rather die in torment. Beast.  Brute.  Calf swine.,1.0,5.0
I'd rather not remember some things.  I would rather not hope for some things.,2.5,3.0
I'd rather not remember some things.  I'd rather not hope for some things.,2.1666666666666665,1.8333333333333333
I'd rather not remember some things. I would rather not hope for some things.,2.0,2.5
I'd rather not remember something...,2.6667,2.6667
I'll,3.5,3.5
"I'll believe it, but- I'll believe it but it- I don't know that that's going to happen.",2.0,3.0
"I'll come back we'll have, you know, some good benefits from being in the service and then we'll live - we'll live a happy life, then the rest of us, like the three of us.",3.5,4.0
I'll do it.,2.6667,3.0
I'll do no such thing.,2.25,2.875
"I'll find out and then we'll thrash it out with dad, all right?  Mom, don't avoid me.",1.5,4.0
"I'll find out. But then after it's all over we'll thrash it out with dad, right?",2.3333,3.0
I'll get it.  I just need a job.  I don't care what it is.,2.0,3.5
"I'll get out.  I'll get married and I'll move somewhere else, maybe New York.",3.0,2.6667
I'll get out.  I'll get married and go live some place else.  Maybe New York.,2.0,3.5
"I'll get out.  I'll get married and live someplace else, maybe New York.",3.0,2.5
I'll get out.  I'll get married and live someplace else.  Maybe New York.,2.0,3.0
"I'll get out.  I'll go get married and live someplace else.  I don't know, maybe New York.",2.0,4.0
"I'll get out.  I'll go get married someplace else, I- I'll live someplace else, maybe New York.",2.0,4.5
I'll get out.  I'll marry her somewhere else.  Maybe New York.,2.5,2.5
"I'll get out. I'll get married and go live some place else, maybe New York.",2.0,3.0
"I'll get out. I'll get married and live some place else.  Maybe, maybe New York?",2.5,4.0
I'll get out. I'll marry her somewhere else. Maybe New York.,3.0,2.3333
I'll get you- I'll get you a bottle of mace.,4.5,3.5
I'll go ahead with it?,2.0,3.0
I'll go to basketball games.,3.0,2.5
I'll have a license.,2.5,2.5
I'll have a little I think.,3.0,3.0
"I'll have a little myself, I think.",3.0,2.0
